Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1	Sp_2639135460_Ga0073252_121_2639135460|Sp_2639135460_Ga0073252_121|Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus	32.683	205	126	4	1	200	1	198	9.05e-26	97.1	234	319	67	100
Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1	Sp_2540152108_ANRT01000040_2540152108|Sp_2540152108_ANRT01000040|Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	29.341	167	91	8	2	157	4	154	3.19e-12	59.3	234	367	49	78
Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1	Sp_2701764653_Ga0106414_111_2701764653|Sp_2701764653_Ga0106414_111|Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	29.341	167	91	8	2	157	4	154	4.22e-12	58.9	234	395	49	78
Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1	Sp_2669504549_Ga0109205_115_2669504549|Sp_2669504549_Ga0109205_115|Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	29.341	167	91	8	2	157	4	154	4.22e-12	58.9	234	395	49	78
Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1	Sp_2723964719_Ga0175988_11_2723964719|Sp_2723964719_Ga0175988_11|Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas	29.530	149	71	6	1	143	1	121	5.88e-09	49.3	234	342	44	64
Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1	fs-2_8|NC_001956|Vibrio_phage_fs2	31.333	150	92	6	4	151	6	146	1.32e-08	48.5	234	361	47	70
Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1	p12Jp07|NC_005131|Ralstonia_phage_p12J	27.737	137	69	6	1	136	1	108	5.27e-08	46.6	234	382	38	59
Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1	Sp_2611750036_Ga0055076_1326_2611750036|Sp_2611750036_Ga0055076_1326|Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus	24.841	157	106	5	1	157	1	145	6.06e-08	46.6	234	370	39	68
Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1	Sp_2646225660_Ga0100909_11_2646225660|Sp_2646225660_Ga0100909_11|Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Beggiatoa	24.713	174	118	4	2	166	3	172	8.71e-08	46.2	234	410	43	73
Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1	BAJ12061.1|AB572858|Vibrio_phage_ND1-fs1	24.848	165	105	5	1	156	28	182	2.51e-06	41.6	234	411	41	70
